LOUD (Y)WOW POLITE NONE/NOTHING fs-BARBARIC WOW LOOK-OVER LONG-LIST,"When it's loud, it can be seen as a lack of politeness, as barbaric.","The noise is wow, but there is nothing polite about it; it is barbaric, wow, look over the long list.  ","There is a loud wow with no politeness; it's barbaric and wow, check out the long list.  ","It's loud, and wow, there's nothing polite, just barbaric; wow, see the long list.  ","A loud wow, not polite at all, just barbaric; wow, check out the extensive list.  ","The sound is a wow, with no politeness; it's barbaric, wow, observe the long list.  ","Loud and with a wow, yet no politeness, only barbaric; wow, examine the long list.  ","It's a loud wow with nothing polite, purely barbaric; wow, inspect the lengthy list.  ","The loud wow is not polite at all, but barbaric; wow, look at the extensive list.  ","Such a loud wow, no politeness, it's barbaric; wow, view the long list.  ","Sounds are loud with a wow, lacking politeness, utterly barbaric; wow, consider the long list.  ",,,,,,,,,
"fs-RANGE DCL:B-L""overgoing with the range"" MAKE LONG-LIST VISUALIZE MEANING-LIST","They exceed normal voice ranges, which gives rise to various interpretations.","""RANGE over going with the range to make a long list and visualize the meaning list.""","""Create a long list that visualizes the meaning of going over the range.""","""Visualize the meaning list by making a long list with range overaccess.""","""Make a long list to visualize the meaning of going beyond range limits.""","""Making a long list that shows the meaning of range overextension.""","""Develop a long list to show meanings by visualizing range overuse.""","""Craft a long list that visually represents the meaning of exceeding range.""","""Formulate a long list to visualize meanings from range overextension.""","""Build a long list that illustrates the meaning of exceeding range barriers.""","""Construct a long list to depict the meanings visually by range overstep.""",,,,,,,,,
"MAKE COURT MAKE COURT MAKE KIND fs-OF 5""you see"" STRUGGLE-continuative fs-SENSORY POLITICS","People make different judgments that are in conflict, giving rise to sensory politics.",The court's numerous attempts are a type of continuous struggle involving sensory politics.  ,Repeated court decisions lead to a prolonged struggle of sensory political issues.  ,Multiple court actions kind of create a continuous battle around politics of perception.  ,Court repeatedly making decisions reflects an ongoing struggle concerning sensory matters in politics.  ,Continuous judicial efforts result in a persistent struggle with sensory political dynamics.  ,The court keeps getting involved in a prolonged struggle regarding the political aspects of perception.  ,Ongoing court interventions form a constant struggle with sensory political implications.  ,Frequent court rulings contribute to a long-standing struggle in the politics of sensory matters.  ,There is a repeated court effort that highlights a struggle of continuous sensory-political issues.  ,The court's repeated actions signify an ongoing struggle in the realm of sensory politics.,,,,,,,,,
WHO MAKE COURT THAT MAKE fs-BY MAKE COURT IX-3p:i ENTER KIND part:indef MENTION fs-SENSORY POLITICS,Whoever makes this kind of judgment enters into sensory politics.,Who created the court that I entered was involved in sensory politics?  ,Who was responsible for establishing the court related to sensory politics?  ,Which entity established the court mentioned in relation to sensory politics?  ,Who established the court that I went into which is linked to sensory politics?  ,Who was involved in creating the court associated with sensory politics?  ,Who was the founder of the court associated with sensory politics that I entered?  ,Who was instrumental in forming the court connected to sensory politics?  ,Who was the originator of the court which deals with sensory politics?  ,Who instituted the court that is associated with sensory politics and I entered?  ,Who set up the court linked to sensory politics that I entered?  ,,,,,,,,,
HAPPEN WITH PEOPLE GROUP/TOGETHER SPECIALTY IN (2h)alt.SEE fs-TACTILE fs-ORIENTED (W)WAY LIVE IX-loc-line HABIT_3 WHEN JOIN BREAK++ POSS-3p:i RANGE,"What happens in groups of people who have a visual-tactile oriented way of life is that they have their own habits, but they break many voice range rules when they join different groups.","What happens when a group of people with specialties come together is they live in a tactile-oriented way, breaking their habits when they join and change their range.  ","When people join together with a specialty, they live in a tactile-oriented way, often breaking their habits and expanding their range.  ","When a group of people with special skills come together, they live tactile-oriented, breaking habits when joining and expanding their range.  ","When people with specialties gather, they live tactile-oriented and break habits, which alters their previously established range.  ","People grouped together with a specialty live uniquely tactile-oriented, breaking habits and creating new range when they join.  ","Specialist groups live tactile-oriented, breaking their habits and shifting ranges as they unite.  ","When attracted by tactile orientation, specialized groups adjust their living habits and expand their established range.  ","A group with tactile-orientation forms a specialty line, breaking their habits and adjusting their range when coming together.  ","Specialized groups joining tactile-orientations break their habits, altering their living range.  ",People specialized in tactile orientation break their habits when coming together and adjust their range.  ,,,,,,,,,
#OR VOICE SOMETHING/ONE WRONG SLOW THINK SOMETHING/ONE fs-OH,"Or perhaps there's something wrong with the voice, or the person will be thought to be slow-minded.","The person or voice was wrong, slow to think, something like ""Oh.""","If something or one is wrong, think slowly, like ""Oh.""","The voice might be wrong, slow, think something like ""Oh.""","Someone's voice was wrong and slow, thinking like ""Oh.""","Or maybe the voice is wrong, slow, thinking ""Oh.""","Voice might be wrong; think it through slowly, like ""Oh.""","Voice seems wrong, think slow, and say ""Oh.""","If one voice is wrong, consider it slowly, like ""Oh.""","Voice sounded wrong, thought slowly, and said ""Oh.""","Something or one wrong with the voice, slowly thought ""Oh.""",,,,,,,,,
"IX-3p:i HAPPEN ABOUT PEOPLE NOT KNOW fs-OF fs-ORIENTATION DIFFERENT LCL:B""pathway"":i LCL:B""pathway"":j",This happens when people don't know about the differences in sensory orientation.,There are people who don't know about different pathways of orientation.  ,Some people may not be aware of the different orientations and pathways.  ,They encounter people unfamiliar with different orientation pathways.  ,Certain people are unaware of diverse pathways related to orientation.  ,There exists a lack of knowledge among some about different orientation pathways.  ,People sometimes don't understand about the various pathways of orientation.  ,Some people are ignorant about the diversity in orientation pathways.  ,There are instances where people don't recognize different pathways of orientation.  ,People encounter a lack of knowledge regarding different orientation pathways.  ,People may face unfamiliarity with various pathways concerning orientation.  ,,,,,,,,,
"DCL:5""person growing up"" TO/UNTIL IX-1p AGE-SIX+HALF AGE-SIX+HALF",... while I was growing up until I was six  and a half years old.,"When I was growing up, I was six and a half years old.",I grew up until I was six and a half years old.,Up until I reached the age of six and a half.,From birth until the age of six and a half.,Growing up until I turned six and a half.,As a child until I was six and a half years old.,Reaching the age of six and a half in my growth.,My growth continued until I was six and a half.,During my upbringing until I was six and a half.,I was growing up until age six and a half.,,,,,,,,,
"5""well"" FINE FAMILY MOVE:i","We were okay with it, so that`s when my family moved there.",The family will move when things are fine.  ,The family is planning to move once everything is well.  ,"When all is well, the family will move.  ","Once everything is fine, the family will relocate.  ",The family intends to move when everything is okay.  ,The move will happen when the family is fine.  ,"When things are good, the family plans to move.  ",The family move happens when they feel fine.  ,Everything needs to be fine before the family's move.  ,The family wants to move when all is well.  ,,,,,,,,,
"L""so"" IX-1p (1h)(crvd-V)MOVE DORM SAME (1h)part:indef THAT TIME MOTHER+FATHER MOTHER+FATHER FINALLY_2 (L)LIVE PASS SEVEN YEAR IX-loc:i BUT IX-1p LEAVE BEFORE_3 IX-1p IX-3p:i","I moved into the dorm again. During that time, my parents had been living where they were for more than seven years, but I had already left home before that.","I moved into the same dorm, and at that time, my parents had been living at their place for seven years, but I left them earlier.   ","I was moving into the same dorm then, while my mother and father had been living there for seven years already, but I left before they did.   ","I was relocating to the same dorm and back then my parents had already stayed in their house for seven years, but I left earlier.   ","I shifted into the same dorm, and during that period, my parents had settled there for seven years; however, I left them sooner.   ","I transferred to the same dormitory, while my parents had been staying in their residence for seven years, though I departed earlier.   ","I moved into the same dormitory and at that time, my parents were already living in that place for seven years but I left already.   ","I relocated to the same dorm, during which my parents were living at their location for seven years, but I departed before them.   ","I transitioned to the same dorm, while back then, my parents had been residing in the same place for seven years, but I left before that.   ","I was going to the same dorm, and during that time, my mother and father had lived there for seven years, although I left sooner.   ","I settled in the same dorm, whereas back then my parents lived there for seven years but I had left earlier.",,,,,,,,,
IX-1p NEVER (1h)part:indef (L)LIVE IN HOUSE FOR MORE THAN SEVEN YEAR #NO+,I never lived in a house... ...,I have never lived in one house for more than seven years.  ,I've never lived in the same house for over seven years.  ,I've never stayed in a house longer than seven years.  ,I never lived in one home for beyond seven years.  ,I have not lived in a house for more than seven years.  ,I never stayed in one place for over seven years.  ,I haven't lived in a dwelling for more than seven years.  ,I've never been in one residence for over seven years.  ,I don't remain in a single house for more than seven years.  ,I have not resided in one house for beyond seven years.,,,,,,,,,
NOT+MUST NOT+MUST TO/UNTIL WORRY ABOUT HEARING SCHOOL #OR DEAF INSTITUTE+ NONE/NOTHING,so I didn`t need to worry about attending a hearing school or a Deaf school.,You don't have to worry about either hearing school or deaf institute.  ,You shouldn't worry at all about hearing school or deaf institute.  ,There's nothing you have to worry about regarding a hearing school or deaf institute.  ,"You must not worry about hearing school or deaf institute, not at all.  ",Don't worry about either hearing school or deaf institute.  ,You aren't required to worry about hearing schools or deaf institutes.  ,You absolutely don't need to worry about hearing schools or deaf institutes.  ,It's not necessary to worry about hearing school or deaf institute.  ,There's no need to worry about a hearing school or deaf institute.  ,You don't have any reasons to worry about hearing school or deaf institute.,,,,,,,,,
part:indef MOTHER TEACH IX-1p+ AND TWO BROTHER EASY MOVE part:indef,"My mother taught my two brothers and me, so it was easier for us to move around.",A mother taught me and my two brothers how to move easily.  ,"A mother showed us, me and my two brothers, how to move easily.  ",Mom taught me and my two brothers to move easily.  ,Mother instructed me and my brothers on easy moving.  ,The mother showed me and my two brothers how to move with ease.  ,"Mother taught us, me and my two brothers, how to move smoothly.  ",The mother helped me and my two brothers learn to move easily.  ,Mother and I plus my two brothers learned to move easily.  ,"Mom trained us, me and two brothers, to easily relocate.  ",Mother taught my two brothers and I to move without difficulty.,,,,,,,,,
IX-1p+ (1h)HAVE STRANGE ABOUT SELF-1p+,There's something strange about myself.,I have something strange about myself.  ,There is something strange about me.  ,I have something weird about me.  ,Something is odd about myself.  ,Something is strange regarding me.  ,I notice something strange about myself.  ,I've got something peculiar about myself.  ,There is something odd about me.  ,Something feels unusual about myself.  ,I've found something strange about me.  ,,,,,,,,,
WHY POSS-3p:i WORK (1h)HAVE BIG PROJECT WHERE IX-loc:i SOUTH ns-NEW-YORK,"Because his job involved a big project located south, in New York.",Why does their work have a big project where it is in South New York?  ,Why do they have a big project at their work in South New York?  ,Why is there a big project where they work in South New York?  ,Why is their work's big project located in South New York?  ,Why is there a big project at their workplace in South New York?  ,Why does the work have a big project down in South New York?  ,Why have they got a large project where they work in Southern New York?  ,Why does the job have a major project located in South New York?  ,Why is a big project happening at their work in South New York?  ,Why do they work on a big project in South New York?  ,,,,,,,,,
PROGRESS++ FOR AROUND+ SIX++ YEAR,That went on for around six years.,There has been progress for around six years.  ,Progressing continuously for about six years.  ,Improvement over approximately six years.  ,Advancing for roughly six years.  ,Development ongoing for around six years.  ,Made progress for about six years.  ,Progress occurred for nearly six years.  ,Progress happening for around six years.  ,Advancements for close to six years.  ,Consistent progress for about six years.  ,,,,,,,,,
j:MOVE:i SOUTH ns-NEW-YORK_2,So we moved south to New York,I am moving south to New York City.  ,"I am moving to New York City, which is south.  ",I'm going south to New York City.  ,I'm moving south towards New York City's location.  ,I'm relocating south to New York City.  ,I'm heading south to NYC.  ,I'm going south to New York City.  ,I'm moving south in the direction of New York City.  ,I'm shifting south to New York City.  ,"I will move south, arriving at New York City.",,,,,,,,,
QUOTE/TOPIC+ IX-1p NEVER ALMOST NEVER GO HOME SPECIAL/EXCEPT FOR VACATION #OR LONG WEEKEND IX-1p COMMUTE BUT MOST TIME IX-1p STAY ns-ROCHESTER,"So basically, I almost never went home to except for vacations or long weekends, that`s when I would commute. But, most of the time I stayed in Rochester...","I almost never go home except for vacations or long weekends. I usually commute, but most of the time I stay in Rochester.  ","I rarely ever go home unless it's for a vacation or a long weekend. I generally commute, but I mostly stay in Rochester.  ","I hardly go home except during vacation or long weekends, instead I commute, but mostly I stay in Rochester.  ","I don’t go home much except for vacations and long weekends. I commute, though usually I am in Rochester.  ",I almost don’t go home unless it’s a special occasion like a vacation or a long weekend. I do commute but mostly remain in Rochester.  ,"It's rare for me to visit home except on vacation or long weekends. Typically, I commute but often stay in Rochester.  ","I seldom go home, only for vacations or long weekends. My commute is regular, but mainly I reside in Rochester.  ","Home is not a common visit for me except during holidays or long weekends. I have a commuting routine, but primarily stay in Rochester.  ","I practically never head home apart from vacations or extended weekends. I may commute, but my main stay is in Rochester.  ","I go home very rarely, usually just for vacations or long weekends. Commuting is usual, yet I mostly find myself in Rochester.",,,,,,,,,
"#SO 5""hesitation"" AGREE PROCEED i:MOVE:j SOUTH ns-NEW-YORK AROUND ONE-HOUR NORTH fs-OF ns-#NYC IX-loc:i","So, we agreed with the decision and went ahead and moved south to New York; it was around an hour north of NYC.","After some hesitation, I agreed to proceed, moving south, near New York, about an hour north of NYC.  ","I hesitated a bit but agreed to proceed and move south, around New York, which is about an hour north of NYC.  ","With a little hesitation, I agreed to move forward, heading south around New York, approximately one hour north of NYC.  ","I agreed to proceed after some hesitation, moving south close to New York, which is located about an hour north of NYC.  ","After hesitating, I decided to agree and continue moving south, near New York, roughly an hour north of NYC.  ","There was hesitation, but I agreed to proceed and move south, to an area around New York, roughly one hour north of NYC.  ","Though I hesitated, I agreed to proceed, while moving south around New York, which is an hour north of NYC.  ","With hesitation, I agreed and moved south, to an area approximately one hour north of NYC, near New York.  ","I hesitated at first but agreed to proceed, moving south to an area around New York, about an hour north of NYC.  ","Despite hesitation, I agreed to move forward, proceeding south near New York, approximately one hour north of NYC.",,,,,,,,,
#SO IX-1p NOT-YET (L)LIVE SEVEN_2 YEAR IX-loc:i,so I won't have lived there for seven years.,You haven't lived there for seven years yet.  ,You haven't been living there for seven years yet.  ,You have not resided there for seven years yet.  ,You haven't been there for seven years yet.  ,You are not yet living there for seven years.  ,You have not been staying there for seven years yet.  ,You haven't lived in that place for seven years yet.  ,You're not living there for seven years yet.  ,You are not yet residing there for seven years.  ,You haven't occupied that place for seven years yet.  ,,,,,,,,,
#SO IX-3p:i FAMILY REALLY+WORK REALLY+WORK j:MOVE:i IX-1p+ (1h)part:indef part:indef GRAB-CHANCE MOVE (L)LIVE WITH IX-3p:i NEW HOUSE IN ns-ROCHESTER,"So, the family in fact move here, and I took the opportunity to move in and live with my family at the new house in Rochester.","About his family, they really worked hard to move, and I grabbed the chance to move to a new house in Rochester with them.","Regarding his family, they put in a lot of effort, and I seized the opportunity to live in a new house in Rochester with them.","His family really put in a lot of work to move, so I took the chance to live with them in a new house in Rochester.","In terms of his family efforts, they worked really hard to move, and I took the opportunity to relocate to Rochester with them.","Considering his family's hard work, I got the chance to move with them to a new house in Rochester.","His family made a great effort to move, and I managed to move with them to a new house in Rochester.","Their family worked extremely hard to facilitate the move, and I took the opportunity to join them in Rochester.",He talked about his family's hard work in moving and I took the opportunity to live in Rochester with them.,"His family worked diligently to move, giving me the chance to relocate to a new house with them in Rochester.","They worked really hard to move, and I took the chance to live in Rochester with his family in their new house.",,,,,,,,,
MAYBE SEEM IX-1p STAY LONG++(1h)MOST LONG++(1h)MOST THAN SEVEN YEAR BUT HIT IX-1p+,"So, may seem like I stayed there longer than seven years.    But then it hit me...","It seems like I may stay the longest for more than seven years, but it affects me.  ","It appears I might remain longer than seven years at most, but it impacts me.  ","I might possibly stay the longest, much more than seven years, but it hits me.  ","It looks like I'll remain for the longest time, over seven years, but it troubles me.  ","Maybe I'll be the one to stay beyond seven years the most, but it affects me.  ","I possibly seem to stay the most, more than seven years, but it affects me.  ","It seems I might be the one to remain the longest beyond seven years, but it impacts me.  ","I could apparently stay longer than seven years, but it has an effect on me.  ","Maybe I appear to remain beyond seven years the most, but it troubles me.  ","I might find myself staying much longer than seven years, but it strikes me.  ",,,,,,,,,
(1h)part:indef (1h)WOW/AWFUL FINE IX-3p:i WANT TRANSFER WHERE ns-ROCHESTER (25)WHY WORK fs-AT ns-#RIT SAME,"I was like, “Oh, wow, that`s fine.” He wanted to transfer to Rochester because he wanted to work at RIT too.","The person was amazing and I want to transfer to Rochester to work at RIT, same.  ",A certain part of me wants to transfer to Rochester and work at RIT for the same reason.  ,"That person was incredibly fine, so I want to transfer to Rochester to work at RIT as well.  ",I'm considering a transfer to Rochester to work at RIT because someone was really impressive.  ,One part of me thinks transferring to Rochester to work at RIT is a fine idea.  ,A part of me feels it's awful that I want to transfer to Rochester and work at RIT too.  ,There's a certain reason I want to transfer to Rochester and work at RIT the same way.  ,"That person seemed perfect, so should I transfer to Rochester and work at RIT too?  ","It's impressive, the fine part of me wants to transfer to Rochester and work at RIT the same.  ",I can't believe it! I want to transfer to Rochester to work at RIT just like someone else did.,,,,,,,,,
"THEN IX-1p SOON FINISH ns-#RIT IX-1p OVER/AFTER POSS-1p 5""umm"" THIRD YEAR IX-3p:i FATHER FIND/FIND-OUT+#OUT FIND/FIND-OUT+#OUT IX-3p:i HAD-IT WITH ns-#IBM IX-3p:i WANT_2 (R)RETIRE CHANGE fs-CAREER IX-loc:i",When I was nearly all done with RIT. after about my third year. my father sensed that he had pretty much had it with IBM; he wanted to retire and change his career.,"Then after I finish RIT soon, in my third year, my father discovered he had enough with IBM and wanted to retire and change careers.",,"Soon I will finish RIT, and after my third year, my father found out he was done with IBM and wanted to retire and change careers.",,"After completing my third year at RIT, my father realized he was fed up with IBM, wanted to retire, and change his career path.",,"I will be done with RIT soon, and after my third year, my father found out about being tired of IBM and desired to retire and change careers.",,"Then, when I finish my third year at RIT soon, my dad discovered he had enough of IBM and wanted to retire and change his career.",,"Once I soon wrap up my third year at RIT, my father realized he was over working at IBM and wanted to retire and shift his career.",,"After I complete RIT soon in my third year, my father discovered he'd had it with IBM and wanted to retire and change his job.",,"Upon finishing my third year at RIT soon, my father realized he was over IBM, wished to retire, and change his occupation.",,"As I near the end of my third year at RIT, my father realized he was done with IBM and wanted to retire and pursue another career.",,"After I finalize my third year at RIT soon, my father found out he was through with IBM and wanted to retire and make a career switch."
UP-TO-NOW (L)LIVE IX-loc:i AROUND ALMOST THREE YEAR,"Since then, I have lived there for around almost three years.",I have been living here for almost three years.  ,I have lived here for nearly three years now.  ,I have resided in this location for almost three years.  ,I have been here and living for close to three years.  ,I have been living here approximately three years now.  ,I am living here and it's almost been three years.  ,I have stayed in this location for about three years.  ,I have occupied this place for nearly three years.  ,I have been residing here for nearly three years.  ,I've been living in this area for almost three years.  ,,,,,,,,,
FOR TWO YEAR IX-1p (rd)JUNIOR_3 SENIOR #HS IX-1p GRADUATE FINISH IX-1p GO ENTER ns-#RIT ns-ROCHESTER INSTITUTE+ fs-OF TECHNOLOGY,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","For two years in junior and senior high school, I graduated and then went to RIT, Rochester Institute of Technology.  ","I was a junior and senior in high school for two years, then graduated and entered RIT, Rochester Institute of Technology.  ","In my junior and senior high school years, I finished and went to RIT, Rochester Institute of Technology.  ","As a junior and senior for two years, I finished high school and went to RIT, Rochester Institute of Technology.  ","After two years as a junior and senior, I graduated and went to RIT, Rochester Institute of Technology.  ","During my last two years of high school, I graduated and joined RIT, Rochester Institute of Technology.  ","I spent two years as a junior and senior, graduated high school, and entered RIT, Rochester Institute of Technology.  ","After two years in junior and senior high school, I graduated and then attended RIT, Rochester Institute of Technology.  ","Once I completed two years as a junior and senior, I graduated and attended RIT, Rochester Institute of Technology.  ","For two years, I was a junior and senior, graduated high school, and then went to RIT, Rochester Institute of Technology.  ",,,,,,,,,
#SO IX-3p:i COMMUTE+ NOT WORTH BETTER #OFF FAMILY MOVE part:indef,"So, it wasn't worth it for him to commute frequently for a long distance, it was better for the family to move away.",That commute is not worth it; better for the family to move.  ,The commute isn't worth it; it's better for the family to just move.  ,"Commuting isn't worth it, it's better for the family to relocate.  ",The family is better off moving because the commute isn't worth it.  ,"It's not worth commuting, the family is better moving.  ",That commute isn't worthwhile; moving is better for the family.  ,"The commute isn't worth it, so the family should move.  ",Commuting is a hassle; it's better for the family to move.  ,Moving is the better option for the family because the commute isn't worth it.  ,The family would be better off moving rather than dealing with the commute.  ,,,,,,,,,
IX-1p (L)LIVE HOUSE IX-loc:i WITH MOTHER+FATHER MOTHER+FATHER TWO BROTHER,I lived there in a house with my parents and two brothers...,"I live at home with my mother and father, and I have two brothers.  ",I live in my parents' house with my two brothers.  ,I currently reside with both my mom and dad and my two brothers.  ,I am living at the home of my parents with two brothers.  ,"My living situation includes my mom, dad, and two brothers.  ",I stay at my mother and father's place with two brothers.  ,"At my house, there are my mother, father, and two brothers.  ",I share a house with my parents and two brothers.  ,I am at home with my parents and two brothers.  ,I reside in the house with both my parents and two brothers.,,,,,,,,,
DECIDE IX-1p WANT_3 TRANSFER ns-ROCHESTER INSTITUTE+,I decided I wanted to transfer  to the Rochester Institute.,I decided that I want to transfer to Rochester Institute.  ,"Decide, I want to transfer to Rochester Institute.  ",I decided I want to transfer to the Rochester Institute.  ,I decided on transferring to Rochester Institute.  ,I have decided I want to transfer to Rochester Institute.  ,I decided I wish to transfer to Rochester Institute.  ,I'm deciding I want to transfer to Rochester Institute.  ,I made a decision to transfer to Rochester Institute.  ,I've decided to transfer to the Rochester Institute.  ,I am deciding to transfer to Rochester Institute.  ,,,,,,,,,
"MOTHER+FATHER MOTHER+FATHER 5""well"" #OK IX-1p+ TRANSFER ns-#RSD IX-1p STAY DORM #SO","My parents were alright with it. I transferred to RSD, I stayed in the dorm.","My parents seem fine with me transferring to RSD, so I will stay in the dorm.  ",Both my mom and dad are okay with my transfer to RSD; I'll stay in the dorm.  ,"My mother and father are okay with me transferring to RSD, and I will remain in the dorm.  ","My parents are alright with my transfer to RSD, and I'll be staying in the dormitory.  ","My mom and dad are okay with my transferring to RSD, so I'll stay in the dorm.  ","My mother and father accepted my transfer to RSD, so I'm staying in the dorm.  ","My parents seem okay with me transferring to RSD, and I'll stay at the dorm.  ","Mom and dad both agree with my transfer to RSD, so I will stay in the dorm.  ","My parents say it's fine for me to transfer to RSD, so I will stay at the dorm.  ","My mom and dad both said it's fine for me to transfer to RSD, thus I'll stay in the dorm.",,,,,,,,,
FAMILY MOVE WHERE ns-#VT WHY FATHER IX-loc:i WORK TRANSFER ns-#IBM TRANSFER,My family decided to move to Vermont because my father got a job transfer with IBM.,The family moved to Vermont because the father was transferred to the IBM location for work.  ,The family relocated to Vermont since the father's job was transferred to IBM.  ,The family went to Vermont due to the father's work relocation to IBM.  ,"The father was transferred to work in IBM, so the family moved to Vermont.  ",The family moved to Vermont because the father's job was transferred to IBM.  ,"Due to a work transfer to IBM, the family moved to Vermont with their father.  ","The father got a work transfer to IBM, and thus the family moved to Vermont.  ",The family's move to Vermont was because the father was transferred to work at IBM.  ,"The father was relocated to IBM for work, prompting the family to move to Vermont.  ",The reason for the family's move to Vermont was the father's job transfer to IBM.  ,,,,,,,,,
IX-1p QUOTE/TOPIC SHOULD+ START j:MOVE:i CORRECT BUT MOTHER+FATHER MOTHER+FATHER STAY WORK (2h)#OK #SO part:indef,"I guess I should`ve been moving away again, but my parents were okay with the same job.","I should start moving, but since my parents are still working, I guess that's okay.  ","I should start to relocate where my parents are working, but it's okay for now.  ","My intention is correct to start moving, but my parents have to stay at work, so it's fine.  ","I am supposed to start moving, but since my parents stay at work, maybe it's okay.  ","The plan is right for me to move, but my mom and dad work, so that’s alright.  ","I was supposed to start moving, but because my parents are still working, it's okay.  ","I need to get going, but my parents are working, and that's okay.  ","My original plan was to start moving, although my parents stayed at work, so that's alright.  ","I should begin relocating, but my parents are occupied with work, so it’s okay.  ","I should start moving, even though my parents are working, so it's fine.  ",,,,,,,,,
MEAN IX-1p+ FINISH GRADUATE PAST+,"I graduated recently,",Do you mean you already graduated?  ,Are you saying you have graduated?  ,Do you mean you have completed graduation?  ,So you have graduated in the past?  ,Have you finished your graduation?  ,Do you mean you have finished graduating?  ,Did you mean you graduated already?  ,Have you completed your graduation already?  ,Do you mean you've already graduated?  ,Did you finish graduating?  ,,,,,,,,,
FUTURE SEARCH-FOR FOR #JOB IX-3p:i MEAN FUTURE MOVE,"so that`s means I`ll be looking for a job, probably I`ll move away","In the future, looking for a job means moving.  ","In the future, searching for a job implies moving.  ",Searching for a job in the future means relocating.  ,Looking for a job in the future means I might have to move.  ,Future job search will mean I have to move.  ,"In the future, finding a job will mean that I'll need to move.  ",Looking for new employment in the future will require moving.  ,Future job search implies relocation.  ,"In the future, searching for work means I will have to move.  ",Finding a job in the future will involve moving.,,,,,,,,,
IX-1p WANT_3 INCLUDE/INVOLVE fs-SPORTS IX-1p INCLUDE/INVOLVE OVER/AFTER+SCHOOL OVER/AFTER+SCHOOL DO+ LIST-ORDER IX-1p WANT (5)SOCIAL/INTERACT #SO,"I wanted to be involved in sports and after-school activities, plus many other things. I wanted to be more socialized. So,","I want to be involved in sports, including after school programs.  ",I wish to participate in sports and engage in after school activities.  ,"I'm interested in being involved with sports, especially after school.  ",I would like to include sports in my after school routine.  ,I want to involve myself in sports and after school interactions.  ,"I desire to be part of sports activities, including after school ones.  ",I aim to take part in sports along with after school engagements.  ,I'm eager to include sports in my after school socializing.  ,I want to join sports programs and after school activities.  ,I am looking to involve sports and after school activities in my schedule.  ,,,,,,,,,
(1h)STILL TWELVE+HALF TWELVE+HALF SIX+HALF SIX+HALF YEAR FATHER FIND/FIND-OUT+#OUT FIND/FIND-OUT+#OUT IX-3p:i MUST TO/UNTIL MOVE AGAIN,"Still when I was twelve and a half years old, after six and a half years in all, my father found out that he would have to move away again",It's been twelve and a half years since my father found out he had to move again.  ,"After twelve and a half years, my father discovered he must move again.  ",It took twelve and a half years before my father realized he had to move again.  ,"For twelve and a half years, my father kept discovering he must relocate again.  ","Twelve and a half years later, my father realized he needed to move again.  ","Even after twelve and a half years, my father found that he still had to move again.  ",My father had to move again after discovering for twelve and a half years.  ,Twelve and a half years passed before my father discovered he must move again.  ,My father found out twelve and a half years later that he must relocate again.  ,"Twelve and a half years in, my father realized once more he had to move.  ",,,,,,,,,
UNDERSTAND+ IX-2p MAYBE MESSED-UP HOW IX-1p MOVE-AROUND HOME SCHOOL IX-1p (1h)part:indef,"But, you might wonder how I managed, with moving frequently, well I was home schooled.",I understand that you might be confused about how I manage going back and forth between home and school.  ,I get that you may be uncertain about how I travel between my home and school.  ,I know you might be wondering how I handle moving around from home to school.  ,I realize you could be unclear on how I switch between home and school.  ,I see you might be puzzled about how I shuttle between home and school.  ,I understand it's possible you are unsure how I navigate between home and school.  ,I know you might be unsure about how I commute between home and school.  ,I understand you may be mixed up about how I go back and forth from home to school.  ,I realize you could be mixed up on how I transition between my home and school.  ,I see you may be uncertain about how I travel back and forth between home and school.,,,,,,,,,
(1h)NOW IX-1p WONDER FROM-NOW-ON NEW #JOB MEAN IX-1p (2h)MUST (1h)(crvd-V)MOVE MOVE-AROUND FOR SEVEN YEAR #OR LESS-THAN part:indef,"Now, I`m wondering from now on with the new job, does that mean I might be moving around again for the next seven years or less?",Now I wonder if my new job means I have to move around for seven years or less.  ,I'm wondering if from now on I need to move around for up to seven years because of my new job.  ,"From now on, does my new job mean I have to move around for up to seven years?  ",Does my new job mean I must move around for up to seven years from now?  ,I wonder if my new job requires me to move around for seven years or less.  ,Will I have to move around for up to seven years because of my new job?  ,Does my new job mean I'll have to move for a maximum of seven years?  ,"From now on, am I required to move around for the next seven years or less because of my new job?  ",Am I going to need to move continuously for less than seven years due to my new job?  ,Will my new job mean I must move places from now on for up to seven years?  ,,,,,,,,,
"WONDER SEE-SEE 5""oh well""",I wonder.  We'll see.  Oh well.,"I'm curious if I will see it, oh well.  ","I wonder if I'll see anything, oh well.  ","I wonder, and then I see, oh well.  ","I'm pondering whether I will see, oh well.  ","I doubt if I'll see and then, oh well.  ","Will I see it, I wonder, oh well?  ","I guess we'll see, oh well.  ","I wonder what I'll see, oh well.  ","Do I see? I wonder, oh well.  ","I have my doubts about seeing, oh well.",,,,,,,,,
